application_id,farmer_id,subsidy_type,amount_requested,amount_approved,processing_official,processing_institution,application_date,processing_time_days,documents_submitted,inspection_conducted,is_fraudulent,farm_size_acres,years_farming,crop_type,region,income_declared,previous_subsidies_count,equipment_value,land_ownership_type,amount_ratio,amount_per_acre,subsidy_intensity
APP0000_00,F0000,land_improvement,14748.487793616638,11016.509324747596,OFF022,INST007,2023-09-05,28.770260434214155,3,0,0,174.83570765056163,9.598573800204948,corn,West,25207.246905604385,6,79146.94535142652,owned,0.7469585681533875,84.35626790320175,0.5850891947401671
APP0000_01,F0000,land_improvement,25858.73196573027,19507.305853077814,OFF048,INST012,2022-04-28,27.451601974986062,8,1,0,174.83570765056163,9.598573800204948,corn,West,25207.246905604385,6,79146.94535142652,owned,0.7543798311119899,147.90303601718057,1.0258451493162086
APP0001_00,F0001,land_improvement,32023.34459805805,28059.13720081028,OFF020,INST006,2022-05-08,18.82690822085589,3,1,0,143.08678494144075,13.843850634275856,wheat,Central,13248.87597000094,3,106802.43307541768,owned,0.8762088268104211,223.80364903134713,2.417061241313423
APP0001_01,F0001,conservation,13871.874252082463,7746.0794044713675,OFF018,INST003,2023-01-09,37.143975258848336,7,0,0,143.08678494144075,13.843850634275856,wheat,Central,13248.87597000094,3,106802.43307541768,owned,0.5584017893839051,96.94727754040754,1.047022727323598
APP0002_00,F0002,conservation,17667.21986819033,5739.167594724425,OFF031,INST004,2023-09-22,48.16995045356903,6,1,0,182.38442690503462,8.660640632000309,cotton,South,92133.20943328872,1,95051.65797991469,owned,0.32484837102512915,96.86802852630306,0.19175734761506064
APP0002_01,F0002,land_improvement,1000.0,894.5754127620014,OFF012,INST015,2023-09-27,26.563648449252696,10,1,0,182.38442690503462,8.660640632000309,cotton,South,92133.20943328872,1,95051.65797991469,owned,0.8945754127620014,5.482924265900663,0.01085384961786308
APP0003_00,F0003,crop_insurance,24966.87264950676,21500.7559261946,OFF032,INST003,2022-12-09,22.155343493052808,11,1,0,226.15149282040127,12.536307762887677,corn,Central,86726.08304626489,2,76462.15127594085,leased,0.8611713700802397,110.39888500463829,0.2878819355439809
APP0003_01,F0003,organic_certification,15439.164788117696,13581.826408948345,OFF015,INST005,2023-08-26,47.39705043991374,7,0,0,226.15149282040127,12.536307762887677,corn,Central,86726.08304626489,2,76462.15127594085,leased,0.8796995559890133,68.26912613121128,0.17802216179740898
APP0003_02,F0003,equipment_purchase,1000.0,584.325156308136,OFF015,INST013,2023-10-06,35.823224873866096,10,1,0,226.15149282040127,12.536307762887677,corn,Central,86726.08304626489,2,76462.15127594085,leased,0.584325156308136,4.421814720427923,0.011530556493212545
APP0004_00,F0004,equipment_purchase,9140.93803523936,3644.868628474335,OFF010,INST004,2023-03-05,16.38755428896012,4,1,0,138.2923312638332,1.0,soybean,North,11089.710071072426,1,130967.78463880274,owned,0.39874120297314675,66.09866181082982,0.824272048291285
APP0004_01,F0004,disaster_relief,16665.6408693507,6957.70627732022,OFF036,INST000,2023-01-18,9.067279704406797,5,1,0,138.2923312638332,1.0,soybean,North,11089.710071072426,1,130967.78463880274,owned,0.4174880721278434,120.51023160175166,1.5028022159770544
APP0004_02,F0004,equipment_purchase,19047.944532543897,11123.154890790895,OFF024,INST019,2023-07-24,34.601119640641414,5,1,0,138.2923312638332,1.0,soybean,North,11089.710071072426,1,130967.78463880274,owned,0.5839556531565231,137.7368098322412,1.7176233112018475
APP0004_03,F0004,organic_certification,17896.838213258292,12621.43195317253,OFF048,INST002,2022-08-11,27.21409303324275,5,0,0,138.2923312638332,1.0,soybean,North,11089.710071072426,1,130967.78463880274,owned,0.7052324998849435,129.41309217728653,1.6138238149203106
APP0005_00,F0005,disaster_relief,14814.176671760346,8578.68806979414,OFF041,INST010,2022-04-04,32.39315359554669,8,0,0,138.29315215254098,16.70634965898351,wheat,West,49277.73348047446,4,65763.84142562542,leased,0.5790863886581925,107.12154897893946,0.3006261778989944
APP0005_01,F0005,organic_certification,12033.28952500217,6458.909315064858,OFF020,INST004,2023-10-27,19.40741766459133,6,0,0,138.29315215254098,16.70634965898351,wheat,West,49277.73348047446,4,65763.84142562542,leased,0.5367534207204819,87.01290944420109,0.24419324256806932
APP0005_02,F0005,crop_insurance,19068.754504533685,16744.184154251583,OFF034,INST006,2023-11-27,22.812812789891243,6,1,0,138.29315215254098,16.70634965898351,wheat,West,49277.73348047446,4,65763.84142562542,leased,0.8780953234397441,137.88646948693705,0.3869649263006259
APP0005_03,F0005,organic_certification,1000.0,688.6285166057891,OFF008,INST003,2023-03-09,42.84456974335019,11,1,0,138.29315215254098,16.70634965898351,wheat,West,49277.73348047446,4,65763.84142562542,leased,0.688628516605789,7.231016029607697,0.020293141128258963
APP0006_00,F0006,organic_certification,12590.24684757454,6854.304245907838,OFF027,INST011,2022-01-05,24.916085529762857,8,1,0,228.96064077536957,15.009643802897793,corn,North,52998.326861572845,2,49999.26078931469,owned,0.5444138092676309,54.98869502172068,0.23755932673986488
APP0006_01,F0006,disaster_relief,6437.014853139162,4595.4155500369325,OFF022,INST010,2023-09-21,47.913861065992805,10,1,0,228.96064077536957,15.009643802897793,corn,North,52998.326861572845,2,49999.26078931469,owned,0.7139047609616543,28.11406725339504,0.12145694466831192
APP0006_02,F0006,conservation,13491.265191149467,10456.468566044432,OFF023,INST018,2023-03-26,28.816099863381666,9,1,0,228.96064077536957,15.009643802897793,corn,North,52998.326861572845,2,49999.26078931469,owned,0.7750547052402528,58.923949310508696,0.2545602095399636
